Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,BUZ-SMD_L12.0-W12.0_FUET-1230,1,FUET-1230,C391037
C1,0603,1,10nF,
C2,1210,1,100µF,
"C3, C4",0603,2,1uF,
D1,D_SOD-123,1,BZT52C12-7-F,C124196
D2,D_SOD-123,1,BZT52C10-7-F,C155227
"D3, D4",D_SOD-123,2,1N4148W,C2099
D5,D_SMB,1,SMBJ45A,C114005
PS1,CONV_TPSM365R6V3RDNR,1,TPSM365R6V3RDNR,C18208843
Q1,TO-263-2,1,IPB042N10N3G,C69300
Q2,SOT-23,1,AO3422,C37130
Q3,SOT-23,1,SI2309CDS,C10493
Q4,SOT-23,1,2N7002,C8545
"Q5, Q6",SOT-23,2,MMBT3904,C20526
"R1, R2, R3, R7",0603,4,100k,
R4,0603,1,1M,
R5,0603,1,10k,
R6,0603,1,4.7k,
R8,2512,1,47 2W,C136992
TP1,TestPoint_Pad_4.0x4.0mm,1,BAT+,
TP2,TestPoint_Pad_4.0x4.0mm,1,BAT-,
TP3,TestPoint_Pad_4.0x4.0mm,1,ESC-,
TP4,TestPoint_Pad_4.0x4.0mm,1,ESC+,
TP5,TestPoint_Pad_3.0x3.0mm,1,WIRE,
U1,XIAO-nRF52840-SMD,1,XIAO-nRF52840-SMD,
U2,MSOP-8_L2.9-W2.8-P0.65-LS4.0-BR,1,SN74LVC2G02DCTR,C94600
